Datetime,Pressure,Temperature,Salinity,Oxygen,Turbidity
2023-01-13 17:04:25.100000,1.26,17.566,17.092,295.8,0.03
2023-01-13 17:04:25.300000,1.31,17.567,17.093,295.8,0.03
2023-01-13 17:04:25.500000,1.47,17.571,17.104,295.8,0.03
2023-01-13 17:04:25.700000,1.58,17.57,17.105,295.8,0.03
2023-01-13 17:04:25.900000,1.75,17.569,17.096,295.8,0.03
2023-01-13 17:04:26.100000,1.9,17.571,17.104,295.8,0.03
2023-01-13 17:04:26.300000,2.06,17.58,17.163,295.8,0.03
2023-01-13 17:04:26.500000,2.21,17.607,17.32,295.8,0.03
2023-01-13 17:04:26.700000,2.34,17.642,17.648,295.7,0.04
2023-01-13 17:04:26.900000,2.42,17.664,17.83,295.7,0.04
2023-01-13 17:04:27.100000,2.49,17.709,18.082,295.7,0.04
2023-01-13 17:04:27.300000,2.51,17.668,18.103,295.7,0.04
2023-01-13 17:04:27.500000,2.53,17.672,18.052,295.7,0.04
2023-01-13 17:04:27.700000,2.51,17.68,18.087,295.7,0.04
2023-01-13 17:04:27.900000,2.53,17.687,18.047,295.7,0.04
2023-01-13 17:04:28.100000,2.55,17.71,18.284,295.7,0.04
2023-01-13 17:04:28.300000,2.59,17.77,18.602,295.7,0.04
2023-01-13 17:04:28.500000,2.72,17.803,19.055,295.7,0.04
2023-01-13 17:04:28.700000,2.8,17.876,19.56,295.7,0.04
2023-01-13 17:04:28.900000,2.89,17.953,20.329,295.7,0.04
2023-01-13 17:04:29.100000,3.07,18.038,21.36,295.7,0.04
2023-01-13 17:04:29.300000,3.18,18.059,21.771,295.7,0.04
2023-01-13 17:04:29.500000,3.24,18.052,22.145,295.7,0.04
2023-01-13 17:04:29.700000,3.35,18.066,22.384,296.7,0.04
2023-01-13 17:04:29.900000,3.48,18.062,22.736,296.7,0.03
2023-01-13 17:04:30.100000,3.56,17.979,23.177,296.7,0.03
2023-01-13 17:04:30.300000,3.6,17.895,23.401,296.7,0.03
2023-01-13 17:04:30.500000,3.77,17.819,23.633,296.7,0.03
2023-01-13 17:04:30.700000,3.83,17.749,23.934,296.7,0.03
2023-01-13 17:04:30.900000,4.0,17.737,24.057,296.7,0.03
2023-01-13 17:04:31.100000,4.08,17.602,24.377,296.7,0.01
2023-01-13 17:04:31.300000,4.19,17.574,24.704,296.7,0.01
2023-01-13 17:04:31.500000,4.34,17.631,24.815,296.7,0.01
2023-01-13 17:04:31.700000,4.42,17.662,24.896,296.7,0.01
2023-01-13 17:04:31.900000,4.48,17.705,24.943,296.7,0.01
2023-01-13 17:04:32.100000,4.49,17.713,24.941,296.7,0.01
