Datetime,Pressure,Temperature,Salinity,Oxygen,Turbidity
2023-01-14 10:23:29.100000,29.46,11.077,32.219,212.9,-0.45
2023-01-14 10:23:29.300000,29.38,11.08,32.217,212.9,-0.45
2023-01-14 10:23:29.500000,29.31,11.086,32.213,212.9,-0.44
2023-01-14 10:23:29.700000,29.12,11.089,32.214,212.9,-0.44
2023-01-14 10:23:29.900000,28.97,11.098,32.212,212.9,-0.44
2023-01-14 10:23:30.100000,28.76,11.103,32.211,212.9,-0.44
2023-01-14 10:23:30.300000,28.64,11.108,32.209,212.9,-0.44
2023-01-14 10:23:30.500000,28.49,11.113,32.208,212.9,-0.44
2023-01-14 10:23:30.700000,28.34,11.115,32.207,212.3,-0.44
2023-01-14 10:23:30.900000,28.2,11.115,32.206,212.3,-0.44
2023-01-14 10:23:31.100000,28.07,11.116,32.207,212.3,-0.44
2023-01-14 10:23:31.300000,27.94,11.118,32.205,212.3,-0.44
2023-01-14 10:23:31.500000,27.84,11.121,32.205,212.3,-0.44
2023-01-14 10:23:31.700000,27.69,11.124,32.205,212.3,-0.44
2023-01-14 10:23:31.900000,27.54,11.128,32.205,212.3,-0.44
2023-01-14 10:23:32.100000,27.35,11.134,32.206,212.3,-0.44
2023-01-14 10:23:32.300000,27.19,11.152,32.204,212.3,-0.44
2023-01-14 10:23:32.500000,27.04,11.17,32.2,212.3,-0.44
2023-01-14 10:23:32.700000,26.93,11.186,32.192,212.3,-0.44
2023-01-14 10:23:32.900000,26.83,11.198,32.186,212.3,-0.44
2023-01-14 10:23:33.100000,26.68,11.2,32.182,212.3,-0.44
2023-01-14 10:23:33.300000,26.62,11.201,32.175,212.3,-0.44
2023-01-14 10:23:33.500000,26.49,11.199,32.175,212.3,-0.44
2023-01-14 10:23:33.700000,26.39,11.203,32.166,212.2,-0.44
2023-01-14 10:23:33.900000,26.22,11.215,32.16,212.2,-0.44
2023-01-14 10:23:34.100000,26.07,11.232,32.158,212.2,-0.44
2023-01-14 10:23:34.300000,25.82,11.244,32.156,212.2,-0.44
2023-01-14 10:23:34.500000,25.69,11.256,32.158,212.2,-0.44
2023-01-14 10:23:34.700000,25.56,11.259,32.156,212.2,-0.44
2023-01-14 10:23:34.900000,25.46,11.257,32.158,212.2,-0.44
2023-01-14 10:23:35.100000,25.35,11.267,32.156,212.2,-0.44
2023-01-14 10:23:35.300000,25.21,11.273,32.154,212.2,-0.44
2023-01-14 10:23:35.500000,25.19,11.272,32.151,212.2,-0.44
2023-01-14 10:23:35.700000,25.06,11.264,32.153,212.2,-0.44
2023-01-14 10:23:35.900000,24.85,11.261,32.148,212.2,-0.44
2023-01-14 10:23:36.100000,24.74,11.257,32.143,212.2,-0.44
2023-01-14 10:23:36.300000,24.49,11.248,32.141,212.2,-0.44
2023-01-14 10:23:36.500000,24.38,11.247,32.136,212.2,-0.44
2023-01-14 10:23:36.700000,24.24,11.248,32.139,213.4,-0.44
2023-01-14 10:23:36.900000,24.17,11.253,32.137,213.4,-0.44
2023-01-14 10:23:37.100000,24.03,11.263,32.137,213.4,-0.44
