Datetime,Pressure,Temperature,Salinity,Oxygen,Turbidity
2023-01-14 16:03:54.100000,1.89,17.62,17.504,280.1,0.0
2023-01-14 16:03:54.300000,1.96,17.66,17.936,280.1,0.0
2023-01-14 16:03:54.500000,2.0,17.663,18.344,280.1,0.0
2023-01-14 16:03:54.700000,2.04,17.769,19.163,280.1,0.0
2023-01-14 16:03:54.900000,2.02,17.701,19.025,280.1,0.0
2023-01-14 16:03:55.100000,1.98,17.694,18.492,280.1,0.47
2023-01-14 16:03:55.300000,1.92,17.675,17.966,285.4,0.47
2023-01-14 16:03:55.500000,1.96,17.639,17.681,285.4,0.47
2023-01-14 16:03:55.700000,1.96,17.651,17.731,285.4,0.47
2023-01-14 16:03:55.900000,2.02,17.634,17.734,285.4,0.47
2023-01-14 16:03:56.100000,2.06,17.641,17.883,285.4,0.46
2023-01-14 16:03:56.300000,2.08,17.736,18.367,285.4,0.46
2023-01-14 16:03:56.500000,2.09,17.697,18.471,285.4,0.46
2023-01-14 16:03:56.700000,2.04,17.667,18.323,285.4,0.46
2023-01-14 16:03:56.900000,2.04,17.655,17.973,285.4,0.46
2023-01-14 16:03:57.100000,2.06,17.644,17.883,285.4,0.46
2023-01-14 16:03:57.300000,2.0,17.643,17.92,285.4,0.45
2023-01-14 16:03:57.500000,2.02,17.65,18.128,285.4,0.45
2023-01-14 16:03:57.700000,2.09,17.682,18.52,285.4,0.45
2023-01-14 16:03:57.900000,2.21,17.636,18.238,285.4,0.45
2023-01-14 16:03:58.100000,2.29,17.769,19.379,285.4,0.45
2023-01-14 16:03:58.300000,2.36,17.812,20.804,288.3,0.45
2023-01-14 16:03:58.500000,2.48,17.901,21.414,288.3,0.44
2023-01-14 16:03:58.700000,2.55,17.966,21.621,288.3,0.44
2023-01-14 16:03:58.900000,2.61,18.005,21.782,288.3,0.44
2023-01-14 16:03:59.100000,2.67,18.03,21.944,288.3,0.44
2023-01-14 16:03:59.300000,2.78,18.042,22.019,288.3,0.44
2023-01-14 16:03:59.500000,2.88,18.055,22.151,288.3,0.43
2023-01-14 16:03:59.700000,3.01,18.07,22.282,288.3,0.43
2023-01-14 16:03:59.900000,3.12,18.099,22.489,288.3,0.43
2023-01-14 16:04:00.100000,3.28,18.114,22.626,288.3,0.43
2023-01-14 16:04:00.300000,3.39,18.123,22.695,288.3,0.43
2023-01-14 16:04:00.500000,3.45,18.123,22.715,288.3,0.43
2023-01-14 16:04:00.700000,3.56,18.107,22.905,288.3,0.4
2023-01-14 16:04:00.900000,3.73,18.071,23.337,288.3,0.4
2023-01-14 16:04:01.100000,3.73,18.052,23.537,288.3,0.4
2023-01-14 16:04:01.300000,3.85,18.077,23.484,292.3,0.4
2023-01-14 16:04:01.500000,3.83,18.065,23.513,292.3,0.4
2023-01-14 16:04:01.700000,3.79,18.036,23.597,292.3,0.37
2023-01-14 16:04:01.900000,3.79,18.032,23.646,292.3,0.37
2023-01-14 16:04:02.100000,3.73,18.04,23.629,292.3,0.37
2023-01-14 16:04:02.300000,3.77,18.04,23.633,292.3,0.37
2023-01-14 16:04:02.500000,3.85,18.027,23.688,292.3,0.37
2023-01-14 16:04:02.700000,3.98,17.993,23.776,292.3,0.37
2023-01-14 16:04:02.900000,4.02,17.959,23.827,292.3,0.34
2023-01-14 16:04:03.100000,4.11,17.933,23.855,292.3,0.34
2023-01-14 16:04:03.300000,4.09,17.942,23.853,292.3,0.34
2023-01-14 16:04:03.500000,4.0,17.964,23.831,292.3,0.34
2023-01-14 16:04:03.700000,3.9,17.964,23.828,292.3,0.34
2023-01-14 16:04:03.900000,3.83,17.984,23.795,292.3,0.31
2023-01-14 16:04:04.100000,3.71,18.001,23.716,292.3,0.31
2023-01-14 16:04:04.300000,3.75,17.994,23.735,298.2,0.31
2023-01-14 16:04:04.500000,3.77,18.006,23.745,298.2,0.31
2023-01-14 16:04:04.700000,3.85,18.031,23.692,298.2,0.31
2023-01-14 16:04:04.900000,3.94,17.995,23.766,298.2,0.31
2023-01-14 16:04:05.100000,4.04,17.965,23.822,298.2,0.28
2023-01-14 16:04:05.300000,4.19,17.901,23.917,298.2,0.28
2023-01-14 16:04:05.500000,4.28,17.816,24.142,298.2,0.28
2023-01-14 16:04:05.700000,4.42,17.732,24.494,298.2,0.28
2023-01-14 16:04:05.900000,4.44,17.642,24.917,298.2,0.28
2023-01-14 16:04:06.100000,4.49,17.625,25.138,298.2,0.28
2023-01-14 16:04:06.300000,4.53,17.622,25.3,298.2,0.26
2023-01-14 16:04:06.500000,4.61,17.604,25.532,298.2,0.26
2023-01-14 16:04:06.700000,4.74,17.558,25.847,298.2,0.26
2023-01-14 16:04:06.900000,4.82,17.444,26.466,298.2,0.26
2023-01-14 16:04:07.100000,4.97,17.229,27.239,298.2,0.26
2023-01-14 16:04:07.300000,5.05,16.838,28.14,305.1,0.24
2023-01-14 16:04:07.500000,5.14,16.569,28.713,305.1,0.24
2023-01-14 16:04:07.700000,5.16,16.523,28.833,305.1,0.24
2023-01-14 16:04:07.900000,5.26,16.537,28.9,305.1,0.24
